Date,Open,High,Low,Close,Adj Close,Volume
2014/1/2,52.401428,52.511429,51.542858,51.831429,51.831429,12325600
2014/1/3,52,52.495716,51.842857,51.871429,51.871429,10817100
2014/1/6,51.889999,52.044285,50.475716,51.367142,51.367142,15501500
2014/1/7,49.684284,49.69857,48.152859,48.5,48.5,36167600
2014/1/8,48.104286,49.425713,48.074287,48.712856,48.712856,20001100
2014/1/9,48.824287,49.139999,47.857143,48.150002,48.150002,17007200
2014/1/10,48.295715,48.377144,47.218571,47.44857,47.44857,16237900
2014/1/13,47.304287,49.810001,47.304287,48.115715,48.115715,27237000
2014/1/14,48.777142,48.799999,47.509998,48.279999,48.279999,19740000
2014/1/15,47.857143,48.367142,45.581429,47.197144,47.197144,40432000
2014/1/16,46.915714,47.695713,46.002857,47.382858,47.382858,21135800
2014/1/17,47.438572,47.831429,46.89143,47.148571,47.148571,16417100
2014/1/21,47.46143,47.495716,45.75,46.958572,46.958572,25220300
2014/1/22,47.07143,47.777142,46.764286,47.675713,47.675713,48342000
2014/1/23,55.342857,56.51857,53.927143,55.531429,55.531429,91280000
2014/1/24,54.811428,55.814285,54.76857,55.154285,55.154285,35466900
2014/1/27,55.341427,55.92857,52.937141,54.46143,54.46143,32526900
2014/1/28,54.474285,58.201427,54.394287,58.110001,58.110001,43590400
2014/1/29,57.58857,58.191429,56.864285,57.202858,57.202858,28968100
2014/1/30,58.157143,58.455715,57.35857,57.810001,57.810001,18379200
2014/1/31,57.472858,58.914288,57.471428,58.475716,58.475716,23625000
2014/2/3,58.842857,58.878571,57.245716,57.76857,57.76857,20145300
2014/2/4,57.921429,58.361427,56.715714,57.987144,57.987144,18066300
2014/2/5,57.592857,58.25,56.857143,57.774284,57.774284,16762900
2014/2/6,58.060001,58.701427,57.202858,58.272858,58.272858,12852000
2014/2/7,59.062859,61.5,58.651428,61.425713,61.425713,32921000
2014/2/10,61.347141,61.767143,60.611427,61.491428,61.491428,13812400
2014/2/11,61.422855,62.251427,60.787144,61.998573,61.998573,13667500
2014/2/12,62.111427,62.128571,60.791428,61.275715,61.275715,15673000
2014/2/13,60.812859,62.784286,60.714287,62.364285,62.364285,18700500
2014/2/14,62.437141,62.528572,61.669998,62.215714,62.215714,11985400
2014/2/18,62.422855,63.034286,61.142857,62.407143,62.407143,15507800
2014/2/19,61.667141,62.32143,61.138573,61.175713,61.175713,16031400
2014/2/20,61.478573,62.53857,61.308571,62.135715,62.135715,11965100
2014/2/21,62.671429,62.671429,61.378571,61.747143,61.747143,13483400
2014/2/24,62.209999,64.241432,61.214287,63.857143,63.857143,26043500
2014/2/25,64.285713,65.398575,63.57143,64.718575,64.718575,18700500
2014/2/26,65.128571,65.14286,63.714287,64.112854,64.112854,15010100
2014/2/27,63.977142,64.875717,63.977142,64.604286,64.604286,10304700
2014/2/28,64.732857,64.885712,63,63.66143,63.66143,15751400
2014/3/3,63.027142,63.67857,62.585712,63.655716,63.655716,13528200
2014/3/4,64.417145,65,63.655716,64.997147,64.997147,12387900
2014/3/5,64.855713,65.262856,64.558571,64.785713,64.785713,10868900
2014/3/6,64.991432,65.428574,64.141426,64.358574,64.358574,11809000
2014/3/7,64.867142,64.934288,63.644287,64.052856,64.052856,11573800
2014/3/10,64.067146,64.111427,61.728573,62.849998,62.849998,15439200
2014/3/11,63.234287,63.811428,62.235714,62.497143,62.497143,10448200
2014/3/12,61.954285,62.785713,61.382858,62.368572,62.368572,12134500
2014/3/13,62.815716,62.897144,61.182858,61.437141,61.437141,11390400
2014/3/14,61.104286,62.14143,60.42857,60.64143,60.64143,14989100
2014/3/17,61.169998,61.542858,60.330002,60.388573,60.388573,10695300
2014/3/18,60.33857,60.894287,59.5,60.035713,60.035713,14688100
2014/3/19,59.98143,60.778572,59.580002,60.012856,60.012856,10531500
2014/3/20,59.952858,61.742859,59.92857,60.610001,60.610001,14494900
2014/3/21,60.871429,61.191429,57.962856,57.998573,57.998573,26770800
2014/3/24,57.927143,58.064285,52.657143,54.128571,54.128571,42483700
2014/3/25,54.142857,54.990002,52.25,52.977142,52.977142,30356900
2014/3/26,53.287144,53.921429,52.367142,53.182858,53.182858,27152300
2014/3/27,53.001427,53.975716,51.647144,52.025715,52.025715,28672000
2014/3/28,51.459999,52.714287,50.82143,51.267143,51.267143,24699500
2014/3/31,51.644287,52.408573,49.982857,50.290001,50.290001,22125600
2014/4/1,50.25,52.17857,50.248573,52.098572,52.098572,21338800
2014/4/2,52.237144,53.007141,51.185715,51.84,51.84,24194100
2014/4/3,51.618572,52.157143,50.014286,50.669998,50.669998,21983500
2014/4/4,50.778572,50.857143,47.982857,48.187141,48.187141,34958000
2014/4/7,48.644287,49.741428,47.30143,48.285713,48.285713,37351300
2014/4/8,48.578571,50.112858,48.341427,49.841427,49.841427,25761400
2014/4/9,50.147144,50.557144,49.021427,50.432858,50.432858,20511400
2014/4/10,50.639999,51.068573,47.715714,47.818573,47.818573,24871000
2014/4/11,47.257141,47.831429,46.23,46.672855,46.672855,30146200
2014/4/14,47.555714,47.857143,46.505714,47.368572,47.368572,17994200
2014/4/15,47.011429,47.367142,44.585712,46.610001,46.610001,30799300
2014/4/16,47.292858,47.709999,46.194286,47.344284,47.344284,16114700
2014/4/17,48.10857,49.96143,47.5,49.39143,49.39143,32116000
2014/4/21,49.900002,49.914288,48.328571,49.784286,49.784286,47892600
2014/4/22,53.804287,54.41143,52.118572,53.271427,53.271427,64702400
2014/4/23,51.818573,52.5,50.42857,50.5,50.5,40285000
2014/4/24,50.357143,50.842857,47.828571,49.152859,49.152859,30639000
2014/4/25,48.208572,48.772858,46,46.011429,46.011429,33071500
2014/4/28,45.435715,45.842857,42.785713,44.887142,44.887142,47123300
2014/4/29,44.605713,46.375713,44.575714,45.695713,45.695713,23132900
2014/4/30,45.417141,46.057144,44.32143,46.005714,46.005714,23618700
2014/5/1,46.292858,49.384285,46.150002,48.074287,48.074287,37001300
2014/5/2,48.215714,49.128571,47.721428,48.664288,48.664288,26194700
2014/5/5,48.295715,49.354286,48.014286,49.197144,49.197144,20330800
2014/5/6,49.102856,49.674286,46.52,46.598572,46.598572,22722700
2014/5/7,46.59,46.834286,45.029999,45.791428,45.791428,25680900
2014/5/8,45.308571,47.388573,44.908573,45.951427,45.951427,21168700
2014/5/9,46.011429,47.134285,45.335712,46.935715,46.935715,17968300
2014/5/12,47.265713,49.361427,47.217144,49.349998,49.349998,21395500
2014/5/13,49.207142,50.610001,48.677143,49.591427,49.591427,20832000
2014/5/14,49.578571,50.628571,49.437141,50.26857,50.26857,19891900
2014/5/15,50.121429,50.255714,48.482857,49.169998,49.169998,23370200
2014/5/16,49.352856,49.995716,48.548573,49.982857,49.982857,19072200
2014/5/19,49.57143,52.459999,49.507141,52.07143,52.07143,25393200
2014/5/20,52.144287,53.242859,51.771427,53.095715,53.095715,28828100
2014/5/21,53.58857,55.812859,53.335712,55.799999,55.799999,39939900
2014/5/22,55.84,56.785713,55.357143,55.971428,55.971428,33222700
2014/5/23,55.94857,57.495716,55.665714,57.478573,57.478573,22122100
2014/5/27,57.42857,57.459999,56.164288,56.972858,56.972858,26735100
2014/5/28,56.742859,57.885715,56.214287,57.32,57.32,19873700
2014/5/29,57.628571,59.427143,57.078571,59.314285,59.314285,22844500
2014/5/30,59.311428,60.248573,58.80143,59.689999,59.689999,29248800
2014/6/2,59.925713,60.415714,58.92857,60.294285,60.294285,20480600
2014/6/3,59.998573,60.799999,59.578571,59.652859,59.652859,17133200
2014/6/4,59.537144,60.642857,59.042858,60.458572,60.458572,17432800
2014/6/5,60.535713,61.342857,59.795715,61.192856,61.192856,18930800
2014/6/6,61.43,62.127144,61.194286,61.447144,61.447144,15730400
2014/6/9,61.357143,61.521427,60.012856,60.441429,60.441429,16678900
2014/6/10,60.78857,62.291428,60.717144,61.184284,61.184284,22920100
2014/6/11,60.747143,61.799999,60.714287,61.42857,61.42857,13745900
2014/6/12,61.295715,61.464287,60.07143,60.349998,60.349998,15803200
2014/6/13,60.42857,61.128571,59.601429,61.101429,61.101429,15778700
2014/6/16,60.932858,61.601429,60.488571,61.465714,61.465714,12506200
2014/6/17,62.577145,64.012856,62.53857,63.378571,63.378571,28996100
2014/6/18,63.381428,64.402855,62.892857,64.097145,64.097145,18786600
2014/6/19,64.204285,64.21286,62.580002,63.055714,63.055714,17308200
2014/6/20,63.028572,63.26857,62.139999,62.882858,62.882858,13222300
2014/6/23,62.765713,63.122856,62.221428,62.78857,62.78857,10672900
2014/6/24,62.578571,64.277145,62.214287,62.337143,62.337143,20367200
2014/6/25,62.142857,63.537144,61.904285,63.458572,63.458572,15752100
2014/6/26,62.970001,63.162857,62.392857,62.80143,62.80143,14237300
2014/6/27,62.617142,63.312859,62.485714,63.154285,63.154285,15587600
2014/6/30,63.265713,63.83857,62.812859,62.942856,62.942856,10588900
2014/7/1,65.175713,67.668571,65.042854,67.585716,67.585716,37995300
2014/7/2,67.639999,67.98143,66.577141,66.677139,66.677139,17309600
2014/7/3,67.165718,67.517143,66.98143,67.478569,67.478569,11359600
2014/7/7,67.442856,67.461426,65.714287,65.802856,65.802856,18296600
2014/7/8,65.664284,65.85714,62.754284,63.578571,63.578571,26182800
2014/7/9,63.740002,64.191429,62.818573,63.285713,63.285713,21011200
2014/7/10,62.055714,63.455715,61.171429,62.650002,62.650002,24388700
2014/7/11,63.065716,63.447144,62.450001,62.851429,62.851429,14219100
2014/7/14,63.328571,65.068573,62.714287,64.654289,64.654289,17433500
2014/7/15,64.384285,64.48143,63.181427,64.155716,64.155716,13505800
2014/7/16,64.867142,65.099998,63.342857,63.491428,63.491428,13438600
2014/7/17,63.325714,64.121429,62.612858,62.765713,62.765713,13266400
2014/7/18,62.972858,63.471428,62.25,63.452858,63.452858,11760700
2014/7/21,64.527145,65.35714,63.945713,64.564285,64.564285,34671000
2014/7/22,63.282856,63.524284,60.722858,61.584286,61.584286,57174600
2014/7/23,61.487144,62.201427,60.93,61.128571,61.128571,17267600
2014/7/24,61.352856,61.458572,59.860001,60.76857,60.76857,18621400
2014/7/25,60.714287,61.167141,60.057144,60.265713,60.265713,11610200
2014/7/28,60.315716,60.844284,59.78857,60.665714,60.665714,11960900
2014/7/29,60.458572,61.19857,60.458572,60.611427,60.611427,9282000
2014/7/30,60.67857,62.184284,60.615715,62.05143,62.05143,15263500
2014/7/31,61.465714,61.852856,60.184284,60.388573,60.388573,13820100
